x,y
77,79.775154
21,23.177279
22,25.609262
20,17.857388
36,41.849865
15,9.805235
62,58.87466
95,97.617935
20,18.395128
5,8.746748
4,2.811416
19,17.095373
96,95.14907
62,61.38801
36,40.247017
15,14.822486
65,66.95807
14,16.63508
87,90.655136
69,77.22983
89,92.119064
51,46.913876
89,89.82635
27,21.713804
97,97.41207
58,57.016315
79,78.31056
21,19.13151
93,93.034836
27,26.591124
99,97.55155
31,31.435247
33,35.127247
80,78.61043
28,33.07113
47,51.699673
53,53.622353
69,69.46306
28,27.424973
33,36.346443
91,95.06141
71,68.167244
50,50.961555
76,78.04237
4,5.607665
37,36.113346
70,67.235214
68,65.01324
40,38.147537
35,34.311413
94,95.28504
88,87.847496
52,54.081707
31,31.930635
59,59.612473
0,-1.0401142
39,47.493748
64,62.6009
69,70.91464
57,56.148342
13,14.055729
72,68.11367
76,75.597015
61,59.225746
82,85.45504
18,17.76197
41,38.68889
50,50.963436
55,51.835037
13,17.07611
46,46.561417
13,10.347545
79,77.91033
53,50.170086
15,13.2569065
28,31.32275
81,73.93088
69,74.45114
52,52.01932
84,83.6882
68,70.36987
27,23.444792
56,49.830517
48,49.882267
40,41.045258
39,33.378345
82,81.2975
100,105.591835
59,56.82457
43,48.672527
67,67.02151
38,38.430763
63,58.61467
91,89.12377
60,60.91054
14,13.839599
21,16.890852
87,84.066765
73,70.3497
32,33.384743
2,-1.6329683
82,88.54476
19,17.440475
74,75.692986
42,41.97607
12,12.592447
1,0.27530727
90,98.13258
89,87.457214
0,-2.3447385
41,39.329414
16,16.687153
94,96.58888
97,97.70342
66,67.01716
24,25.634762
17,13.413108
90,95.15647
13,9.744164
0,-3.4678838
64,62.828163
96,97.274055
98,95.58017
12,7.468502
41,45.445995
47,46.69014
78,74.49936
20,21.635006
89,91.59549
29,26.494879
64,67.38654
75,74.25363
12,12.079917
25,21.322737
28,29.317701
30,26.487137
65,68.947
59,59.10599
64,64.37521
53,60.207584
71,70.3433
97,97.10825
73,75.758415
9,10.804627
12,12.1122
63,63.283123
99,98.030174
60,63.193542
35,34.85348
2,-2.8199139
60,59.831398
32,29.38505
94,97.00148
84,85.18657
63,61.74063
22,18.847982
81,78.790085
93,95.12401
33,30.488813
7,10.4146805
42,38.983173
46,46.11021
54,52.451035
16,21.16524
49,52.286205
43,44.18864
95,97.13832
66,67.22008
21,18.983223
35,24.38846
80,79.44769
37,40.03505
54,53.320057
56,54.55447
1,-2.7611825
32,37.801826
58,57.487415
32,36.06293
46,49.83538
72,74.68953
17,14.861594
97,101.069786
93,99.435776
91,91.692406
37,34.124733
4,6.07939
54,59.07247
51,56.43046
27,30.49413
46,48.351727
92,89.73154
73,72.86282
77,80.97144
91,91.36566
61,60.071377
99,99.873825
4,8.655714
72,69.39858
19,19.387802
57,53.116283
78,78.39683
26,25.756124
74,75.074844
90,92.887726
66,69.45499
13,13.1210985
40,48.09843
77,79.314255
67,68.488205
75,73.23009
23,24.683626
45,41.90369
59,62.226357
44,45.96397
23,23.526472
55,51.800358
55,51.107742
95,95.79747
12,9.241139
4,7.6465297
7,9.2817
100,103.52662
48,47.41007
42,42.038357
96,96.11983
39,38.057663
100,105.45038
87,88.80307
14,15.493011
14,12.426246
37,40.007095
5,5.634031
88,87.36939
91,89.73952
65,66.615
74,72.91389
56,57.191036
16,11.217105
5,0.67607677
28,28.156685
92,95.3958
46,52.05491
54,59.708645
39,36.792248
44,37.084576
31,24.18438
68,67.287254
86,82.87059
90,89.899994
38,36.94173
21,19.875622
95,90.71481
56,61.093678
60,60.11135
65,64.83296
78,81.40382
89,92.402176
6,2.5766253
67,63.807682
36,38.677807
16,16.828398
100,99.78687
45,44.689133
73,71.00378
57,51.57327
20,19.878466
76,79.50342
34,34.588764
55,55.738346
72,68.19722
55,55.816284
8,9.391417
56,56.01448
72,77.99695
58,55.3705
6,11.894578
96,94.79082
23,25.690416
58,53.520424
23,18.313967
19,21.426378
25,30.413033
64,67.68142
21,17.085478
59,60.917927
19,14.995143
16,16.749239
42,41.46924
43,42.84526
61,59.12913
92,91.30864
11,8.673336
41,39.314854
1,5.3136864
8,5.4052205
71,68.54589
46,47.334877
55,54.090637
62,63.29717
47,52.459465
