x,y
24,21.549452
50,47.464462
15,17.218657
38,36.5864
87,87.28899
36,32.463875
12,10.780897
81,80.7634
25,24.612152
5,6.9633193
16,11.237574
16,13.532902
24,24.60324
39,39.4005
54,48.43754
60,61.699
26,26.928324
73,70.405205
29,29.340923
31,25.308952
68,69.02934
87,84.99485
58,57.043102
54,50.592197
84,83.027725
58,57.057526
49,47.95883
20,24.342264
90,94.68488
48,48.039707
4,7.081323
25,21.9924
42,42.331516
60,61.92304
93,91.17716
39,39.45358
7,5.9960694
21,22.59016
68,61.180443
84,85.02779
58,61.94274
19,21.960333
36,33.66194
19,17.609463
59,58.563057
51,52.823906
19,22.136349
33,35.074673
85,86.188225
44,42.63228
5,4.0981774
59,61.22299
14,17.706776
9,11.853126
75,80.230515
69,62.64932
10,9.616859
17,20.027977
58,61.751076
74,71.6101
21,23.771545
51,51.90142
19,22.660736
50,50.02898
24,26.687944
12,6.806419
75,77.33986
21,28.902601
64,66.73466
5,0.70751065
58,57.077484
32,28.414532
41,44.462723
7,7.459606
4,2.316708
5,4.928546
49,52.50336
90,91.19109
3,8.489164
11,6.9633718
32,31.9799
83,81.42812
25,22.623653
83,78.52505
26,25.80714
76,73.51082
95,91.77547
53,49.218636
77,80.504456
42,50.056362
25,25.462925
54,55.321644
55,59.12449
73,71.98021
35,30.136663
86,83.88428
90,89.91005
13,8.335654
46,47.88389
46,45.003975
32,31.156645
8,9.190375
71,74.83135
28,30.231775
24,24.219141
56,57.872192
49,50.617283
79,78.6747
90,86.23671
89,89.104095
41,43.26595
27,26.682734
58,59.46383
26,28.900558
31,31.300417
70,71.143326
71,68.47392
39,39.982388
7,4.075776
48,47.858177
56,51.203903
45,43.93672
41,38.13627
3,3.5746617
37,36.413998
24,22.219086
68,63.531258
47,49.867027
27,21.5314
68,64.057106
74,70.7755
95,92.1575
79,81.222595
21,25.101141
95,94.08853
54,53.251663
56,59.162365
80,75.241486
26,28.223259
25,25.333237
8,6.364616
95,95.46092
94,88.64184
54,58.703186
7,6.815491
99,99.403946
36,32.770493
48,47.058678
65,60.53322
42,40.3093
93,89.422226
86,86.82132
26,26.116976
51,53.266575
100,96.623276
94,95.78441
6,6.0472865
24,24.473879
75,75.968445
7,3.829381
53,52.517036
73,72.80457
16,14.109991
80,80.86087
77,77.01988
89,86.26972
80,77.13735
55,51.476494
19,17.345575
56,57.728535
47,44.150295
56,59.243626
2,-1.0532756
82,86.79002
57,60.14032
44,44.04222
26,24.522749
52,52.953056
41,43.161335
44,45.675625
3,-2.8307495
31,29.196932
97,96.49812
21,22.545322
17,20.107414
7,4.0354304
61,61.145683
10,13.971637
52,55.3453
10,12.184412
65,64.00078
71,70.31883
4,-0.9368951
24,18.914223
26,23.875904
51,47.577538
42,43.27361
62,66.48279
74,75.72606
77,80.596436
3,-2.23588
50,47.04655
24,21.596355
37,32.87559
58,57.95783
52,52.2476
27,24.582869
14,12.125738
100,100.0158
72,74.04683
5,1.6119474
71,70.36836
54,52.26832
84,83.12862
42,43.64765
54,49.447853
74,72.63567
54,52.781307
53,57.11195
78,79.105064
97,101.622856
49,53.58254
71,68.921394
48,46.966698
51,51.02643
89,85.52074
99,99.51686
93,94.639114
49,46.783577
18,21.213219
65,58.37266
83,87.2206
100,102.49679
41,43.883144
52,53.06656
29,26.334648
97,98.52009
7,9.400497
51,52.940266
58,53.830208
50,45.94511
67,65.013275
89,86.50696
76,75.632805
35,36.78035
99,100.53289
31,29.04466
52,51.703526
11,9.199955
66,71.70016
50,49.82634
39,37.49971
60,53.65085
35,33.92562
53,49.926395
14,8.148154
49,49.72359
16,16.167128
76,75.30033
13,9.577369
51,48.380882
70,72.953316
98,92.59574
86,88.85523
100,99.00362
46,45.094395
51,46.943626
50,48.334496
91,94.923294
48,47.781654
81,81.289604
38,37.83155
40,39.691853
79,76.92665
96,88.02991
60,56.991787
70,72.589294
44,44.981033
11,11.990176
6,1.9195133
5,1.628826
72,66.277466
55,57.53887
95,94.70291
41,41.2147
25,25.041693
1,3.77821
55,50.50712
4,9.682408
48,48.881477
55,54.403484
75,71.70233
68,69.35848
100,99.98492
25,26.033237
75,75.489105
34,36.59623
38,40.951023
92,86.783165
21,15.507011
88,85.86078
75,79.2061
76,80.806435
44,48.59717
10,13.934151
21,27.305119
16,14.002263
32,33.67416
13,13.116129
26,24.766493
70,73.68478
77,77.531494
77,76.24503
88,88.05789
35,35.02446
24,21.658577
17,17.336815
91,94.36779
32,33.433964
36,32.521793
89,90.577415
69,71.25634
30,31.232128
6,5.39884
22,18.562414
67,71.97121
9,5.2257595
74,73.596436
50,49.76949
85,82.69087
3,1.6523091
59,62.038116
62,61.265144
17,13.249916
90,88.61673
23,21.136555
19,23.850174
93,92.01203
14,10.267122
58,54.146816
87,87.006454
37,37.694473
20,19.622787
35,34.78561
63,62.03191
56,52.670036
62,58.090313
98,97.19449
90,90.50156
51,50.512344
93,94.45212
22,21.107946
38,37.362984
13,10.2857485
98,96.049324
99,100.09537
31,30.606318
94,96.19
73,71.30828
37,34.59311
23,19.023329
11,10.766697
88,90.57999
47,48.717876
79,78.741394
91,85.234924
71,71.6579
10,8.938991
39,39.89606
92,91.850914
99,99.11201
28,26.221966
32,33.215843
32,35.723927
75,76.88605
99,99.30875
27,25.77161
64,67.85169
98,98.50371
38,31.11332
46,45.51171
13,12.655378
96,95.56065
9,9.526432
34,36.108932
49,46.436283
1,-3.839981
50,48.97302
94,93.25305
27,23.47651
20,17.135511
12,14.558962
45,41.53993
91,91.64731
61,66.16653
10,9.230858
47,47.41378
33,34.764416
84,86.10796
24,21.81268
48,48.89964
48,46.781086
9,12.913285
93,94.55203
99,94.97069
8,2.3791726
20,21.47983
38,35.797955
78,82.07638
81,78.87098
42,47.24924
95,96.18852
78,78.38492
44,42.94274
68,64.43232
87,84.211914
58,57.30698
52,52.521015
26,25.744024
75,75.42284
48,53.62523
71,75.14466
77,74.12151
34,36.248074
24,20.21666
70,66.94758
29,34.072784
76,73.138504
98,92.85929
28,28.367939
87,85.59309
9,10.684538
87,86.107086
33,33.220314
64,66.095634
17,19.304865
49,48.84542
95,93.731766
75,75.45759
89,91.24239
81,87.156906
25,25.537529
47,46.066296
50,49.652775
5,7.382244
68,71.1119
84,83.50571
8,8.79114
41,33.30639
26,26.403625
89,91.72961
78,82.530304
34,36.677628
92,86.984505
27,32.347843
12,16.783539
2,1.5765843
22,17.461815
26,24.348043
50,48.29491
84,85.521454
70,73.71435
66,63.151894
42,38.462135
19,19.471008
94,94.07428
71,67.92051
19,22.580963
16,16.016298
49,48.43308
29,29.66736
29,26.655663
86,86.28207
50,50.823048
86,88.57252
30,32.599808
23,21.024694
20,20.72895
16,20.380512
57,57.2518
8,6.967537
8,10.240085
62,64.94841
55,55.35894
30,31.243656
86,90.72049
62,58.750126
51,55.850033
61,60.199257
86,85.03295
61,60.38823
21,18.446798
81,82.18839
97,94.29633
5,7.6820245
61,61.01858
47,53.60562
98,94.47729
30,27.964594
63,62.556625
100,101.70034
18,13.84974
30,28.997694
98,99.04316
16,15.561356
22,24.635284
55,53.983932
43,42.914497
75,74.29662
91,91.17013
46,49.424408
85,82.47684
55,56.153038
36,37.17063
49,46.369286
94,97.023834
43,40.83182
22,24.084984
37,41.143864
24,21.97388
95,100.7409
61,61.199715
75,74.39517
68,69.04377
58,56.687187
5,5.8603916
53,55.720215
80,79.220215
83,86.30177
25,25.269718
34,36.332943
26,27.655743
90,94.796906
60,58.673668
49,56.159344
19,18.409193
92,86.26937
29,26.594362
8,8.45252
57,56.181316
29,27.654526
19,20.873919
81,77.83354
50,50.01788
15,9.290856
70,75.02847
39,38.30377
43,44.707863
21,22.510166
98,102.49595
86,86.768456
16,13.897486
25,24.818243
31,33.94225
93,92.2697
67,68.73365
49,47.38517
